conqueror_rank,conqueror_word,conqueror_freq,conqueror_distinctiveness,conqueror_level,conqueror_exclusive,indigenous_rank,indigenous_word,indigenous_freq,indigenous_distinctiveness,indigenous_level,indigenous_exclusive
78,eleganza,2,3.0,HIGH,EXCLUSIVE,78,volontà,3,4.0,HIGH,EXCLUSIVE
79,calzone,2,3.0,HIGH,EXCLUSIVE,79,sangue,3,4.0,HIGH,EXCLUSIVE
80,azione,2,3.0,HIGH,EXCLUSIVE,80,macchia,3,4.0,HIGH,EXCLUSIVE
81,costa,2,3.0,HIGH,EXCLUSIVE,81,etiope,3,4.0,HIGH,EXCLUSIVE
82,occhiata,2,3.0,HIGH,EXCLUSIVE,82,birra,3,4.0,HIGH,EXCLUSIVE
83,fratello,3,2.0,MODERATE,,83,oggetto,3,4.0,HIGH,EXCLUSIVE
84,amicizia,3,2.0,MODERATE,,84,motivo,3,4.0,HIGH,EXCLUSIVE
85,frase,3,2.0,MODERATE,,85,rispetto,3,4.0,HIGH,EXCLUSIVE
86,schiena,2,3.0,HIGH,EXCLUSIVE,86,bastone,3,4.0,HIGH,EXCLUSIVE
87,oro,2,3.0,HIGH,EXCLUSIVE,87,parte,7,1.6,LOW,
88,risa,2,3.0,HIGH,EXCLUSIVE,88,ombra,6,1.8,LOW,
89,sguardo,6,0.9,LOW,,89,natura,4,2.5,MODERATE,
90,giuoco,4,1.2,LOW,,90,scherzo,4,2.5,MODERATE,
91,vita,5,1.0,LOW,,91,bassopiano,4,2.5,MODERATE,
92,ingegnere,4,1.2,LOW,,92,capello,4,2.5,MODERATE,
93,ragazzo,7,0.7,LOW,,93,buio,4,2.5,MODERATE,
94,occhio,11,0.4,LOW,,94,timore,4,2.5,MODERATE,
95,nome,3,1.3,LOW,,95,sera,4,2.5,MODERATE,
96,gioia,3,1.3,LOW,,96,forza,4,2.5,MODERATE,
97,anno,4,1.0,LOW,,97,ciglio,4,2.5,MODERATE,
98,gridare,3,1.3,LOW,,98,lingua,4,2.5,MODERATE,
99,indigeno,4,0.8,LOW,,99,ponte,4,2.5,MODERATE,
100,strada,5,0.7,LOW,,100,valle,4,2.5,MODERATE,
