category,segments,agent_roles,patient_roles,agent_patient_ratio,passive_constructions,passive_rate,active_verbs,transitive_verbs,intransitive_verbs
Indigenous,427,493,639,0.7715179968701096,16,0.03747072599531616,433,158,262
Conqueror,257,277,356,0.7780898876404494,17,0.06614785992217899,250,93,150
