segment_id,category,text,subjects,objects,passive_subjects,oblique_agents,active_verbs,passive_verbs,transitive_verbs,intransitive_verbs,agent_count,patient_count,passive_count
433,Conqueror,"Una cassetta serve sempre, e chi ne possiede appena una si allieta la tenda di un mobile straordinar","['cassetta', 'chi', 'uno', 'tenda']",['ritratto'],[],[],"['servire', 'servire', 'allietare', 'allietare']",[],[],"['servire', 'allietare']",4,1,0
434,Conqueror,"E non è tanto difficile procurarsi una donna da amare, quanto procurarsi una cassetta.",[],"['donna', 'cassetta']",[],[],[],[],[],[],0,2,0
435,Conqueror,"Stavano seduti davanti alle loro tende, chiacchierando col carabiniere del posto di blocco, ancora s",['che'],['carabiniere'],[],[],['immaginare'],[],[],['immaginare'],1,1,0
436,Conqueror,"Non mi aspettavo certo di suscitare molto interesse, ma quegli operai non fecero commenti, né propos",['operaio'],"['interesse', 'commento', 'soluzione']",[],[],['fare'],[],['fare'],[],1,3,0
437,Conqueror,"Gli operai si insultavano scherzosamente, in dialetto, cavando anche in questa occasione argomenti r",['operaio'],['argomento'],[],[],['insultare'],[],[],['insultare'],1,1,0
438,Conqueror,"Piuttosto timido, quando lo guardai si impappinò a ripetermi la sua opinione, che non voleva essere ",['che'],"['lo', 'opinione']",[],[],[],[],[],[],1,2,0
439,Conqueror,"Restò fermo a guardarmi, aspettando che gli chiedessi dov ’ era la scorciatoia.",[],['mi'],[],[],[],[],[],[],0,1,0
440,Conqueror,"Aveva una di quelle facce gentili da operaio, che si sono viste almeno una volta, forse affacciandos",['che'],['uno'],[],[],['vedere'],[],[],['vedere'],1,1,0
441,Conqueror,Aveva accettato per timidezza e ora mi guardava con due occhi di inferiore premiato.,[],['mi'],[],[],[],[],[],[],0,1,0
442,Conqueror,E aggiunse un ’ osservazione scherzosa che aveva indubbiamente sentita da altri; si vergognava a rif,"['osservazione', 'che']","['la', 'puzzo']",[],[],"['aggiungere', 'sentire']",[],[],"['aggiungere', 'sentire']",2,2,0
443,Conqueror,"Incapace di licenziare una tavola con tanti vuoti, vi aveva aggiunto a capriccio brevi frasi: Reside",['struzzo'],"['tavola', 'frase']",[],[],['incontrare'],[],[],['incontrare'],1,2,0
444,Conqueror,"E sempre più mi meravigliavo che una simile principessa fosse scaduta a vivere in quel bassopiano, m","['principessa', 'generale']",['la'],[],[],['scadere'],[],[],['scadere'],2,1,0
445,Conqueror,"Il dottore del battaglione avrebbe riso più di tutti, rideva sempre più di tutti quando qualcuno rac","['dottore', 'qualcuno', 'che']","['storia', 'immaginazione']",[],[],"['ridere', 'raccontare', 'superare']",[],"['raccontare', 'superare']",['ridere'],3,2,0
446,Conqueror,"Era un gran dormiglione e riceveva la visita medica in pigiama, maledicendo i soldati che lo rapivan",['che'],"['visita', 'soldato', 'lo']",[],[],['rapire'],[],['rapire'],[],1,3,0
447,Conqueror,"E il ricordo degli amici lasciati lassù quasi mi commosse, bravi fratelli dei quali un giorno avrei ","['ricordo', 'fratello']",['nome'],[],[],"['commuovere', 'commuovere']",[],[],['commuovere'],2,1,0
448,Conqueror,"Una volta arrivati giù, l ’ attesa del dottore, che sarebbe arrivato alle otto, con la posta e i viv","['che', 'che']",['occhiata'],[],[],"['arrivare', 'scherzare']",[],[],"['arrivare', 'scherzare']",2,1,0
449,Conqueror,"Sdraiato sulla branda vicina un giovane fingeva di leggere, ma in realtà mi stava spiando di sopra g",['giovane'],[],[],[],['fingere'],[],[],['fingere'],1,0,0
