Main_Category,Subcategory,Num_Annotations,Total_Words,Avg_Words_per_Segment,Percent_of_Category,Percent_Words_of_Category
Description,Landscape,140,3180,22.71,60.09,62.45
Description,Indigenous,60,1159,19.32,25.75,22.76
Description,Soldier,33,753,22.82,14.16,14.79
Narrator,Knowledge,37,544,14.7,37.0,34.8
Narrator,Judgement,32,508,15.88,32.0,32.5
Narrator,Indexicals,31,511,16.48,31.0,32.69
